Packung,Artikel,Farbe,GrÃ¶ÃŸe,Menge
65,14435,6000,4,50
65,14435,6000,5,50
65,14435,6370,5,50
65,14435,6370,6,50
65,83055,6000,5,50
66,14435,3000,3,50
66,14435,3000,6,50
66,14435,3000,7,50
66,14435,3070,6,50
66,14435,3080,4,50
66,14435,3080,5,50
66,14435,5450,4,50
66,14435,6055,5,50
66,14435,6370,5,50
66,83024,3000,6,50
66,83055,6000,5,50
67,14435,3000,3,50
67,14435,3000,6,50
67,14435,3070,5,50
67,14435,5450,4,50
67,14435,5930,5,50
67,14435,6370,5,50
67,14435,6370,5,50
67,14435,6370,5,50
67,14435,6370,5,50
67,14435,8120,7,50
67,83024,3000,6,50
68,14435,3080,4,50
68,14435,3080,6,50
68,14435,3080,6,50
68,14435,4320,4,50
68,14435,6000,5,50
68,14435,6370,5,50
68,14435,6370,5,50
68,14435,6370,5,50
68,14435,6370,6,50
68,83024,3000,4,50
68,83024,3000,6,50
69,14435,3080,4,50
69,14435,3080,5,50
69,14435,3080,5,50
69,14435,3080,6,50
69,14435,5410,6,50
69,14435,6000,5,50
69,14435,6055,5,50
69,14435,6370,5,50
69,14435,6370,6,50
69,14435,6543,5,50
69,14435,8120,7,50
70,16524,3400,4,50
70,16550,3010,4,50
70,16596,6940,3,50
70,16834,2000,2,50
70,16866,3010,4,50
71,16095,3010,3,50
71,16162,7926,3,50
71,16522,3010,5,50
71,16523,6249,3,50
71,16523,7820,2,50
72,13378,8546,3,50
72,16519,2040,1,50
72,16525,8680,4,50
72,16588,3010,3,50
72,16597,3010,2,50
72,27012,3775,1,50
73,14435,3000,6,50
73,14435,3000,7,50
73,14435,3080,4,50
73,14435,3080,5,50
73,14435,5450,4,50
73,14435,6000,4,50
73,14435,6370,5,50
73,14435,6370,5,50
73,14435,6370,6,50
73,83024,3000,4,50
73,83055,6000,6,50
74,14435,3000,3,50
74,14435,3080,5,50
74,14435,3080,5,50
74,14435,3080,6,50
74,14435,3080,8,50
74,14435,5930,6,50
74,14435,6055,5,50
74,14435,6370,4,50
74,14435,6370,5,50
74,83024,3000,6,50
75,14435,3070,5,50
75,14435,3080,5,50
75,14435,3080,7,50
75,14435,6000,4,50
75,14435,6000,5,50
75,14435,6370,3,50
75,14435,6370,5,50
75,14435,6370,5,50
75,14435,6543,5,50
75,14435,8120,6,50
75,83024,3000,4,50
76,14435,3000,6,50
76,14435,3000,7,50
76,14435,3080,5,50
76,14435,3080,6,50
76,14435,5930,5,50
76,14435,5930,6,50
76,14435,6370,4,50
76,14435,6370,6,50
76,14435,6370,6,50
76,83055,6000,5,50
77,16163,7765,2,50
77,16524,3400,2,50
77,16746,3010,5,50
77,16748,3010,3,50
77,16770,3000,5,50
77,16785,2000,4,50
77,20787,6140,1,50
78,11432,3010,3,50
78,11432,3010,5,50
78,16084,6120,3,50
78,16084,6120,4,50
78,16162,7926,3,50
78,16730,8584,3,50
78,16834,2000,2,50
79,16512,7820,4,50
79,16518,8000,4,50
79,16550,3010,4,50
79,16555,3010,1,50
79,16575,3010,3,50
80,16095,3010,3,50
80,16523,6249,3,50
80,16523,7820,2,50
80,16524,3010,4,50
81,13059,3000,2,50
81,16609,2000,2,50
81,16609,2000,4,50
81,16609,2000,5,50
81,16609,3000,3,50
81,16609,3000,4,50
81,16609,3400,3,50
81,16609,3400,4,50
81,16609,6120,4,50
81,46331,2000,2,50
81,46331,2000,2,50
82,13059,3000,2,50
82,16609,2000,2,50
82,16609,2000,2,50
82,16609,2000,3,50
82,16609,2000,3,50
82,16609,2000,5,50
82,16609,3000,3,50
82,16609,3400,3,50
82,16609,3400,3,50
82,46331,2000,2,50
83,16609,2000,2,50
83,16609,2000,3,50
83,16609,2000,4,50
83,16609,2000,5,50
83,16609,3400,3,50
83,16609,3400,3,50
83,16609,3400,4,50
83,16609,6120,3,50
83,16609,6120,3,50
83,16609,6120,4,50
83,46331,2000,2,50
84,13378,6278,4,50
84,16247,3180,3,50
84,16396,3010,4,50
84,16540,3002,2,50
84,16551,2040,2,50
84,16748,3010,3,50
84,27012,3775,1,50
85,13378,6278,4,50
85,13378,6333,2,50
85,16519,2040,1,50
85,16554,6941,2,50
85,16588,3010,3,50
85,16589,3010,3,50
85,16748,3010,4,50
86,13378,3000,2,50
86,13378,6278,5,50
86,13378,6333,2,50
86,16174,3010,3,50
86,16540,3002,2,50
86,16551,2040,1,50
86,16748,3010,3,50
86,16785,2000,4,50
87,16163,7765,4,50
87,16174,3010,5,50
87,16522,1085,2,50
87,16730,8584,3,50
87,16748,3010,4,50
87,20787,3080,1,50
88,16523,7820,3,50
88,16524,3400,3,50
88,16524,3400,4,50
88,16550,3010,3,50
89,16501,2060,2,50
89,16522,1085,4,50
89,16522,7821,2,50
89,16554,3010,3,50
90,16746,2020,3,50
90,16746,3010,2,50
90,16746,3010,3,50
90,86242,3010,3,50
90,86473,3010,3,50
90,86473,3010,3,50
90,86473,3403,3,50
90,86473,3403,3,50
90,86749,2020,2,50
90,86749,7134,2,50
90,86749,7134,2,50
91,16730,8584,3,50
91,16746,2020,3,50
91,86243,3010,3,50
91,86243,3010,3,50
91,86243,4100,3,50
91,86243,4100,3,50
91,86749,2028,2,50
91,86749,2028,2,50
91,86749,2028,2,50
91,86749,2028,2,50
91,86749,2028,4,50
92,14435,3070,5,50
92,14435,3080,4,50
92,14435,3080,5,50
92,14435,3080,7,50
92,14435,6000,5,50
92,14435,6370,4,50
92,14435,6370,5,50
92,14435,6370,5,50
92,14435,6370,6,50
92,14435,8120,6,50
92,83055,6000,6,50
93,16518,8000,4,50
93,16524,3010,4,50
93,16575,3010,3,50
93,16730,8584,3,50
93,16866,3010,4,50
94,16163,7765,2,50
94,16525,8680,2,50
94,16550,3010,3,50
94,16597,3010,2,50
94,20787,6140,1,50
95,14041,3030,4,50
95,14041,3030,4,50
95,14041,3030,6,50
95,14041,3030,6,50
95,14041,3030,6,50
95,14041,6000,4,50
95,14041,6000,4,50
95,14041,6000,6,50
95,14403,3000,4,50
95,14403,3000,5,50
95,14403,6370,3,50
95,14403,6370,3,50
95,14403,6370,4,50
95,14403,6370,4,50
96,14435,3080,4,50
96,14435,3080,4,50
96,14435,3080,6,50
96,14435,6000,3,50
96,14435,6000,4,50
96,14435,6370,5,50
96,14435,6370,5,50
96,14435,6370,5,50
96,14435,6370,6,50
96,14435,6543,5,50
96,83024,3000,4,50
97,13378,6333,2,50
97,16522,1085,4,50
97,16554,3010,3,50
97,16554,6941,2,50
97,16748,3010,4,50
98,16174,3010,3,50
98,16501,2060,2,50
98,16525,8680,2,50
98,16588,3010,3,50
98,16597,3010,2,50
98,27012,3775,1,50
99,16094,3010,4,50
99,16094,3010,4,50
99,16523,6249,2,50
99,16523,6249,3,50
100,13059,3000,2,50
100,16609,2000,2,50
100,16609,2000,3,50
100,16609,2000,4,50
100,16609,2000,5,50
100,16609,2000,5,50
100,16609,3400,4,50
100,16609,6120,3,50
100,16609,6120,4,50
100,46331,2000,2,50
101,16746,2020,3,50
101,16746,3010,4,50
101,16746,3010,5,50
101,86242,3010,3,50
101,86242,4100,3,50
101,86473,3010,2,50
101,86473,3403,3,50
101,86749,2020,2,50
101,86749,7134,2,50
102,16162,7926,3,50
102,16162,7926,3,50
102,16523,7820,2,50
102,16730,8584,2,50
102,16730,8584,2,50
102,16730,8584,4,50
102,16834,2000,1,50
102,16866,3010,4,50
103,11432,3010,3,50
103,16084,6120,4,50
103,16550,3010,4,50
103,16596,6940,2,50
103,16834,2000,2,50
103,16834,2000,2,50
104,16084,6120,4,50
104,16518,8000,5,50
104,16522,3010,5,50
104,16575,3010,3,50
105,16094,3010,4,50
105,16512,7820,5,50
105,16523,6249,2,50
105,16524,3010,4,50
106,16095,3010,2,50
106,16095,3010,3,50
106,16523,6249,3,50
106,16523,7820,3,50
107,86242,4100,3,50
107,86243,4100,2,50
107,86243,4100,3,50
107,86473,3010,2,50
107,86473,3010,2,50
107,86473,3403,3,50
107,86749,2028,4,50
107,86749,2028,4,50
107,86749,7134,1,50
107,86749,7134,4,50
